,Parkia biglobosa,Tamarindus indica,Khaya senegalensis,"Mangifera
indica
",Arable land,Fallow,Adansonia digitata,Diospyros mespiliformis,Cow Dung,Waste Dump,Tree stump,"Anogeissus
leiocarpa
",Wood,"Sclerocaya 
beria
",Dalbergia sissoo,Vitellaria paradoxa,Albizia Lebbeck,Eucalyptus camaldulensis,Daniellia oliveri,Azadirachta indica,Dalonix regia,Combretum nigricans,Ficus platyphylla ,Senna siamea,Duranta erecta,Ficus sycomorus ,Thevetia neriifolia,Gmelina arborea
Stropharia albonitens,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suillellus queletii,6,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Termitomyces eurrhizus,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termitomyces microcarpus,4,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termitomyces reticulatus,9,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termitomyces robustus,6,4,0,4,6,10,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Termitomyces sp. 1,6,3,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termitomyces sp. 2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trametes elegans,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trametes gibbosa,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma terreum,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulostoma brumale,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvaria gloiocephala,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvariella pusilla,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvariella volvacea,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylaria hypoxylon,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
